1.544951013652350866e+03,2.176258866092126709e-01
1.644696147567692606e+03,2.190736010359405628e-01
1.890769419346712539e+03,2.208613061060000771e-01
2.173660249646958619e+03,2.227250091861301962e-01
2.498873999902369178e+03,2.244805998889013166e-01
2.872744840598832980e+03,2.262500287265409304e-01
3.302557186928976080e+03,2.282221291654446260e-01
3.796649005246469187e+03,2.291979333223395365e-01
4.364669354307015055e+03,2.304319436908458529e-01
5.017662563980875348e+03,2.314171963013492428e-01
5.768317559285465904e+03,2.316388756825563111e-01
6.631257213435888843e+03,2.315413000077461425e-01
7.623208531250469605e+03,2.299170818118102810e-01
8.763490774408175639e+03,2.274872840112592554e-01
1.007431833723491945e+04,2.248350273149382073e-01
1.158121186743715225e+04,2.221524242446130670e-01
1.331349697728612045e+04,2.194413073471641329e-01
1.530487836799820798e+04,2.166437609379026075e-01
1.759415520150270095e+04,2.141179280406436403e-01
2.022588590622322954e+04,2.117966852838970016e-01
2.325127043648107428e+04,2.095006070147066302e-01
2.672914236953454383e+04,2.070009654849844782e-01
3.072731110030727359e+04,2.048698353748336920e-01
3.532359432191844826e+04,2.029844209636814945e-01
4.060740335352648253e+04,2.011163579966559201e-01
4.668153749428244191e+04,1.991556188501654445e-01
5.366437560728508106e+04,1.974861000545260203e-01
6.169171028892853064e+04,1.957765823428205265e-01
7.091996903411089443e+04,1.943496459161123402e-01
8.152872733278702071e+04,1.930395450271160662e-01
9.372446890743855329e+04,1.917911561789766850e-01
1.077445504101324768e+05,1.905508406751663109e-01
1.238619854514897888e+05,1.894229874378892953e-01
1.423908744743173593e+05,1.886656414595548337e-01
1.636912553901640640e+05,1.877041652982853193e-01
1.881784981824058632e+05,1.870568279851821947e-01
2.163289868718535872e+05,1.864631348259525034e-01
2.486901801085508487e+05,1.856664167299164614e-01
2.858936778031200520e+05,1.853836093956580666e-01
3.286619814093656023e+05,1.848461926578222059e-01
3.778301236233020900e+05,1.848702588751806875e-01
4.343522706826414797e+05,1.844868885917662071e-01
4.993299455266938894e+05,1.841043133133193621e-01
5.740301760433277814e+05,1.841282829410251232e-01
6.599080555938588222e+05,1.845589562861913446e-01
7.586337095365512650e+05,1.849906369699766684e-01
8.721260275674551958e+05,1.850147219933931109e-01
1.002601507103968062e+06,1.855497742863934929e-01
1.152594813111246098e+06,1.858812276077286274e-01
1.325031993152785581e+06,1.865730691981196676e-01
1.523265022833191557e+06,1.871126281446243156e-01
1.751158163428737549e+06,1.878608500059755215e-01
1.935730492051354144e+06,1.882117829047225688e-01
